"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"1","2017-03-20","No","Yes","Empty and reuse","4",NA,NA,NA,6,"Almost full","Yes"
"2","2017-03-20","No",NA,"Multiple options",NA,NA,NA,NA,NA,NA,"No"
"3","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,7,"Almost full","Yes"
"4","2017-03-20","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","No"
"5","2017-03-20","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","Yes"
"6","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","No"
"7",NA,"No","No","Empty and reuse",NA,NA,NA,4,NA,"Half-full","Yes"
"8","2017-03-20","No","No","Other (please specify)",NA,NA,NA,4,NA,"Almost full","Yes"
"9","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,NA,"Almost full","No"
"10","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"11","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,6,"Almost full","Yes"
"12","2017-03-20","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"13","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"14","2017-03-20","No",NA,"Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"15","2017-03-27","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"16","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"17","2017-03-20","No","No","Other (please specify)",NA,NA,NA,8,NA,"Almost empty","Yes"
"18","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"19","2017-03-20",NA,"Yes","Empty and reuse","4","Very affordable","Every 3 months",0,3,"Half-full","Yes"
"20","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,7,"Half-full","Yes"
"21","2017-03-20",NA,"Yes","Empty and reuse","5","Affordable","Every 9 months",NA,3,"Almost full","No"
"22","2017-03-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"23","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,2,"Almost full","Yes"
"24","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"25","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,24,"Half-full","Yes"
"26","2017-03-20","No","No","Other (please specify)",NA,NA,NA,3,NA,"Almost full","Yes"
"27",NA,"Yes","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"28","2017-03-20","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty",NA
"29","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost empty","No"
"30","2017-03-20","No","Yes","Bury and dig another one","Other (please specify)",NA,NA,NA,3,"Almost full","Yes"
"31","2017-03-20",NA,"No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"32",NA,"No","Yes","Bury and dig another one","5","Very affordable","Every Year",1,NA,"Half-full","Yes"
"33","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,0,0,"Almost full","Yes"
"34","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,5,"Almost full","No"
"35","2017-03-20","No","No","Other (please specify)",NA,NA,NA,8,NA,"Almost empty","Yes"
"36","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,1,NA,"Yes"
"37","2017-03-20","Yes","Yes","Empty and reuse","5","Other (please specify)","Every 2 years",NA,2,"Almost full","Yes"
"38","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,6,"Almost empty","Yes"
"39","2017-03-20","No",NA,"Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"40","2017-03-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"41","2017-03-20","Yes","Yes","Empty and reuse","5","Too expensive","Every six months",NA,6,"Half-full","No"
"42","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,0,"Almost full","Yes"
"43","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"44","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,1,12,"Half-full","Yes"
"45","2017-03-20","No","Yes","Empty and reuse","3","Too expensive","Every six months",NA,3,"Almost full","Yes"
"46","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,10,0,"Almost empty","No"
"47","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost full","Yes"
"48","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"49","2017-03-20","No","Yes","Empty and reuse","3","Not affordable","Every 1 year Six Months",NA,2,"Almost full","Yes"
"50","2017-03-20","No","No","Abandone",NA,NA,NA,10,NA,"Almost empty","Yes"
"51","2017-03-20","Yes",NA,"Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"52","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Half-full","Yes"
"53","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"54","2017-03-20","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"55","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"56","2017-03-20","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","Yes"
"57","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"58","2017-03-20","No","No","Other (please specify)",NA,NA,NA,10,NA,"Almost empty","Yes"
"59","2017-03-20","No","Yes","Empty and reuse","3","Affordable","Every 9 months",NA,2,"Half-full","Yes"
"60","2017-03-20","No","Yes","Abandone","5","Affordable","Every 1 year Six Months",NA,2,"Almost full","Yes"
"61","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"62","2017-03-20","No","Yes","Bury and dig another one","5","Too expensive","Every 2 years",NA,5,"Half-full","Yes"
"63","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"64","2017-03-20","Yes","No","Other (please specify)",NA,NA,NA,5,NA,"Almost empty","Yes"
"65","2017-03-20","Yes","Yes","Empty and reuse","5","Affordable","Other (please specify)",NA,0,"Full","No"
"66","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","No"
"67","2017-03-20","No","No","Empty and reuse",NA,NA,NA,1,3,"Almost full","Yes"
"68","2017-03-20","No","No","Other (please specify)",NA,NA,NA,8,NA,"Almost full","No"
"69","2017-03-20","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"70","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"71","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"72",NA,"Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"73","2017-03-20","No","No","Empty and reuse",NA,NA,NA,15,NA,"Almost empty","Yes"
"74","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"75","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"76","2017-03-20","No","Yes","Empty and reuse",NA,"Affordable","Every 1 year Six Months",2,NA,"Full","No"
"77","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"78","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Full","No"
"79","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"80","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,NA,6,"Almost full","Yes"
"81","2017-03-20","No","No","Multiple options",NA,NA,NA,3,NA,"Half-full","Yes"
"82","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","No"
"83","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"84","2017-03-20","No","No","Abandone",NA,NA,NA,5,NA,"Half-full","Yes"
"85","2017-03-20","No","Other (please specify)","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"86","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"87","2017-03-20","No","No","Empty and reuse",NA,NA,NA,10,NA,"Almost empty","Yes"
"88",NA,"No","Yes","Bury and dig another one","5","Affordable","Every 2 years",2,NA,"Almost full","Yes"
"89","2017-03-20","Yes","No","Abandone",NA,NA,NA,1,NA,"Almost full","Yes"
"90","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost full","Yes"
"91",NA,"No","Yes","Empty and reuse","2","Not affordable","Every Year",1,0,"Full","Yes"
"92","2017-03-20","No","No","Multiple options",NA,NA,NA,6,NA,"Half-full","Yes"
"93","2017-03-20","No","Yes","Empty and reuse","2",NA,"Other (please specify)",NA,NA,"Full","Yes"
"94","2017-03-20","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"95","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"96","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"97","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"98","2017-03-20","Yes","Yes","Bury and dig another one","Other (please specify)","Affordable","Other (please specify)",1,NA,"Almost full","No"
"99","2017-03-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"100","2017-03-20","No","No","Multiple options",NA,NA,NA,5,NA,"Almost full","Yes"
"101","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,3,28,"Half-full","Yes"
"102","2017-03-20","Yes","No","Other (please specify)",NA,NA,NA,0,4,"Almost full","Yes"
"103","2017-03-20","No","No","Empty and reuse",NA,NA,NA,NA,7,"Almost full","Yes"
"104","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Almost full","Yes"
"105","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"106","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,4,NA,"Almost empty","Yes"
"107","2017-03-20","No","No","Empty and reuse",NA,NA,NA,10,NA,"Half-full","Yes"
"108","2017-03-20","No","No","Abandone",NA,NA,NA,6,NA,"Almost empty","No"
"109","2017-03-20","No","No","Other (please specify)",NA,NA,NA,2,NA,"Half-full","Yes"
"110","2017-03-20","No","Yes","Empty and reuse","Other (please specify)",NA,"Every six months",NA,6,"Full","Yes"
"111","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"112","2017-03-21","Yes","No","Bury and dig another one",NA,NA,NA,NA,1,"Almost full","Yes"
"113","2017-03-21","No",NA,"Empty and reuse",NA,NA,NA,NA,9,"Almost full","Yes"
"114","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Empty","Yes"
"115","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,10,NA,"Almost empty","Yes"
"116","2017-03-21","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full",NA
"117","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"118","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"119","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"120","2017-03-14","No","No","Multiple options",NA,NA,NA,NA,6,"Almost empty","No"
"121","2017-03-21","No","Yes","Bury and dig another one","5","Affordable","Every six months",NA,2,"Full","Yes"
"122","2017-03-21","No","No","Empty and reuse",NA,NA,NA,13,NA,"Almost empty","Yes"
"123","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost full","Yes"
"124","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","No"
"125","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"126","2017-03-21","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"127","2017-03-21","No","No","Multiple options",NA,NA,NA,1,NA,"Almost full","Yes"
"128","2017-03-21","No","No","Multiple options",NA,NA,NA,0,5,"Half-full","Yes"
"129","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"130","2017-03-21","Yes","Yes","Empty and reuse","5",NA,"Every 9 months",NA,4,"Full","Yes"
"131","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"132","2017-03-21","No","No","Empty and reuse",NA,NA,NA,0,2,"Almost full","Yes"
"133","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost full",NA
"134","2017-03-21",NA,"No","Bury and dig another one",NA,NA,NA,0,3,"Almost full","Yes"
"135","2017-03-21",NA,"Other (please specify)","Other (please specify)",NA,NA,NA,NA,3,"Almost full","Yes"
"136","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"137","2017-03-21","No","Yes","Empty and reuse","Other (please specify)","Very affordable","Other (please specify)",8,NA,"Almost full","Yes"
"138","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"139","2017-03-21","No","No","Abandone",NA,NA,NA,10,NA,NA,"Yes"
"140","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost full","Yes"
"141","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,11,"Almost full","Yes"
"142","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"143","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"144","2017-03-21","No","Yes","Empty and reuse","5",NA,"Every 2 years",NA,9,"Half-full","Yes"
"145","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,1,NA,NA,NA
"146","2017-03-21","No","No","Empty and reuse",NA,NA,NA,0,5,"Almost full","Yes"
"147","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"148","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"149","2017-03-21","No","No","Empty and reuse",NA,NA,NA,0,0,"Almost empty","No"
"150","2017-03-21","No","Yes","Empty and reuse","5","Affordable","Every 1 year Six Months",1,0,"Almost full","Yes"
"151","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,2,"Full","Yes"
"152","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,2,NA,"Almost full","Yes"
"153","2017-03-21","Yes","Yes","Empty and reuse","5","Affordable","Every 9 months",NA,7,"Almost full","Yes"
"154","2017-03-21","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"155","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,11,"Almost full","No"
"156","2017-03-28","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost empty","No"
"157","2017-03-21","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"158","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"159","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,1,NA,NA,"Yes"
"160","2017-03-28","No","No","Other (please specify)",NA,NA,NA,2,0,"Almost full","Yes"
"161","2017-03-21","No","No","Empty and reuse",NA,NA,NA,3,0,"Almost empty","Yes"
"162","2017-03-21","No","Yes","Multiple options",NA,NA,"Other (please specify)",15,NA,"Almost empty","Yes"
"163","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"164","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"165","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"166","2017-03-21","No","Yes","Empty and reuse","Other (please specify)","Not affordable","Other (please specify)",1,NA,"Half-full","Yes"
"167","2017-03-21","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"168","2017-03-21","No","No","Other (please specify)",NA,NA,NA,2,0,"Almost empty","Yes"
"169","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"170","2017-03-21","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"171","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"172","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,8,"Almost full","Yes"
"173","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"174","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,6,NA,"Almost empty","Yes"
"175","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,8,"Half-full","Yes"
"176","2017-03-21","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"177","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"178","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,6,"Half-full","Yes"
"179","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"180","2017-03-21","No","No","Abandone",NA,NA,NA,NA,2,"Almost full","Yes"
"181","2017-03-21","No","Yes","Other (please specify)","5","Affordable","Other (please specify)",0,0,"Half-full","Yes"
"182","2017-03-21","Yes","No","Bury and dig another one",NA,NA,NA,10,NA,"Half-full","Yes"
"183","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"184","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,0,"Almost full","No"
"185","2017-03-21","Yes","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"186","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,2,NA,"Almost empty","Yes"
"187","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","No"
"188","2017-03-21",NA,"Other (please specify)","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"189","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Full","Yes"
"190","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,9,"Half-full","Yes"
"191","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"192","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","Yes"
"193","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"194","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,NA,9,"Half-full","Yes"
"195","2017-03-21","Yes","No","Multiple options",NA,NA,NA,2,NA,"Half-full","Yes"
"196","2017-03-21",NA,"No","Empty and reuse",NA,NA,NA,0,2,"Almost full","Yes"
"197","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"198","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"199","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"200","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","No"
"201","2017-03-21","No","Yes","Abandone","Other (please specify)","Too expensive","Every 2 years",1,NA,"Full","Yes"
"202","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"203","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"204","2017-03-21","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"205","2017-03-21",NA,"No","Bury and dig another one",NA,NA,NA,6,NA,"Almost empty","Yes"
"206","2017-03-21","Yes","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"207","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"208","2017-03-21",NA,"No","Bury and dig another one",NA,NA,NA,8,NA,"Almost empty","No"
"209","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"210","2017-03-21","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost full","Yes"
"211","2017-03-21","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"212","2017-03-21","No",NA,"Multiple options",NA,NA,NA,3,NA,"Half-full","Yes"
"213",NA,"No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"214","2017-03-21","No","Yes","Empty and reuse","3","Affordable",NA,NA,13,"Almost full","Yes"
"215","2017-03-21",NA,"No","Empty and reuse",NA,NA,NA,NA,2,"Full","Yes"
"216","2017-03-21","No","Yes","Empty and reuse","Other (please specify)",NA,"Every Year",1,NA,"Almost full","Yes"
"217","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,3,"Almost full","Yes"
"218","2017-03-21","No","Yes","Empty and reuse","3","Affordable","Every 2 years",3,NA,"Half-full","Yes"
"219","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"220","2017-03-21","No","No","Other (please specify)",NA,NA,NA,6,0,"Empty","Yes"
"221","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"222","2017-03-21","No","Yes","Empty and reuse","5","Not affordable","Other (please specify)",1,NA,"Half-full","Yes"
"223","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"224","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","No"
"225","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,3,"Half-full","No"
"226","2017-03-21","No","No","Other (please specify)",NA,NA,NA,0,6,"Half-full","Yes"
"227","2017-03-21","Yes","No","Other (please specify)",NA,NA,NA,1,6,"Half-full",NA
"228","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost empty","Yes"
"229","2017-03-21","No","No","Other (please specify)",NA,NA,NA,2,NA,"Half-full","Yes"
"230","2017-03-21","No","No","Empty and reuse",NA,NA,NA,7,NA,"Almost empty","Yes"
"231","2017-03-21","Yes","No","Bury and dig another one",NA,NA,NA,NA,6,"Half-full","Yes"
"232","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"233","2017-03-21","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"234","2017-03-21","No","No","Empty and reuse",NA,NA,NA,NA,3,"Half-full","Yes"
"235","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"236","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,2,"Full","Yes"
"237","2017-03-21","No","Yes","Empty and reuse","5","Affordable","Other (please specify)",4,NA,"Half-full","Yes"
"238","2017-03-21","No","No","Abandone",NA,NA,NA,6,NA,"Almost empty","Yes"
"239","2017-03-21","No","No","Empty and reuse",NA,NA,NA,6,NA,"Almost empty","Yes"
"240","2017-03-21","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"241","2017-03-21","No","No","Other (please specify)",NA,NA,NA,3,NA,"Half-full","Yes"
"242","2017-03-21","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost empty","Yes"
"243","2017-03-21","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"244","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Half-full","Yes"
"245","2017-03-22","Yes","Yes","Empty and reuse","3","Not affordable","Every 3 months",NA,1,"Almost full","Yes"
"246","2017-03-22","No","No","Other (please specify)",NA,NA,NA,3,0,"Half-full","Yes"
"247","2017-03-22","No","No","Other (please specify)",NA,NA,NA,2,NA,"Half-full","Yes"
"248","2017-03-22","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"249",NA,"No","No","Bury and dig another one",NA,NA,NA,0,2,"Almost full","Yes"
"250","2017-03-22","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"251","2017-03-22","Yes","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost empty","Yes"
"252","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"253","2017-03-22","Yes","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"254","2017-03-22","No","No","Empty and reuse",NA,NA,NA,6,NA,"Half-full","Yes"
"255","2017-03-22","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"256","2017-03-22","No","Yes","Other (please specify)",NA,NA,NA,1,NA,"Almost empty","Yes"
"257","2017-03-22","No","No","Empty and reuse",NA,NA,NA,NA,2,"Almost full","Yes"
"258","2017-03-22",NA,NA,"Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"259","2017-03-22","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"260","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Half-full","Yes"
"261","2017-03-22","No","Yes","Empty and reuse","4",NA,NA,NA,2,"Full","Yes"
"262","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,10,NA,"Almost empty","Yes"
"263","2017-03-22","No","No","Abandone",NA,NA,NA,1,12,"Full","Yes"
"264",NA,"No","No","Other (please specify)",NA,NA,NA,3,0,"Almost full","Yes"
"265","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"266","2017-03-22","No","No","Multiple options",NA,NA,NA,15,NA,"Half-full","Yes"
"267","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,0,0,"Almost full","Yes"
"268","2017-03-22","No","No","Empty and reuse",NA,NA,NA,0,0,"Half-full","No"
"269","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,2,NA,"Almost full","Yes"
"270","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","Yes"
"271","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,6,NA,"Almost full","Yes"
"272","2017-03-22","No","Other (please specify)","Other (please specify)",NA,NA,NA,0,NA,"Half-full","Yes"
"273","2017-03-22","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"274","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"275","2017-03-22","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"276","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","Yes"
"277","2017-03-22","No","Yes","Empty and reuse","4",NA,"Other (please specify)",3,NA,"Almost empty","Yes"
"278","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,NA,2,"Half-full","Yes"
"279",NA,"No","No","Multiple options",NA,NA,NA,5,NA,"Half-full","Yes"
"280","2017-03-22","No","No","Empty and reuse",NA,NA,NA,5,NA,NA,NA
"281","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"282","2017-03-22","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"283","2017-03-22","Yes","No","Bury and dig another one",NA,NA,NA,NA,4,"Half-full","No"
"284","2017-03-22","Yes","No","Empty and reuse",NA,NA,NA,0,3,"Almost empty","Yes"
"285","2017-03-22","No","Yes","Empty and reuse","4","Very affordable","Every 1 year Six Months",0,6,"Almost full","Yes"
"286","2017-03-22","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
