"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"2616","2017-03-31","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"2617","2017-03-31","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2618","2017-03-31","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","Yes"
"2619","2017-03-31","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"2620","2017-03-31","No","Yes","Empty and reuse","Other (please specify)",NA,"Other (please specify)",1,NA,"Almost full","Yes"
"2621","2017-03-31","No","No","Abandone",NA,NA,NA,NA,1,"Full","Yes"
"2622","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"2623","2017-03-31","No","No","Empty and reuse",NA,NA,NA,0,2,"Full","Yes"
"2624","2017-03-31","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2625","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full",NA
"2626","2017-03-31","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"2627","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Almost full","Yes"
"2628","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2629","2017-03-31","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2630","2017-03-31","No","No","Empty and reuse",NA,NA,NA,7,NA,"Half-full","No"
"2631","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Almost full","Yes"
"2632","2017-03-31","No","No","Empty and reuse",NA,NA,NA,2,0,"Full","Yes"
"2633","2017-03-31","No","No","Empty and reuse",NA,NA,NA,7,NA,"Half-full","No"
"2634","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost full","Yes"
"2635","2017-03-31","No","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,"No"
"2636","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost full","Yes"
"2637","2017-04-01","No","No","Multiple options",NA,NA,NA,3,NA,"Half-full","Yes"
"2638","2017-04-01","Yes","Yes","Empty and reuse","Other (please specify)","Affordable","Every 2 years",1,6,"Half-full","Yes"
"2639","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,0,"Half-full","Yes"
"2640","2017-04-01","Yes","No","Multiple options",NA,NA,NA,5,NA,"Almost empty","Yes"
"2641","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"2642","2017-04-01",NA,"No","Bury and dig another one",NA,NA,NA,10,NA,"Almost empty","Yes"
"2643","2017-04-01","No","No","Multiple options",NA,NA,NA,3,NA,"Half-full","No"
"2644","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"2645","2017-04-01","No","No","Empty and reuse",NA,NA,NA,1,0,"Half-full","Yes"
"2646","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"2647","2017-04-01","No","No","Multiple options",NA,NA,NA,1,NA,"Full","Yes"
"2648","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"2649","2017-04-01",NA,"No","Empty and reuse",NA,NA,NA,2,0,"Almost empty","Yes"
"2650","2017-04-01","No","Other (please specify)","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2651","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"2652","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,4,0,"Half-full","Yes"
"2653","2017-04-01","No","No","Multiple options",NA,NA,NA,4,NA,"Almost empty","Yes"
"2654","2017-04-01","No","No","Multiple options",NA,NA,NA,3,NA,"Almost full","Yes"
"2655","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"2656","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"2657","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"2658","2017-04-01","No","Yes","Empty and reuse","5","Affordable","Every Year",NA,6,"Half-full","Yes"
"2659","2017-04-01",NA,"No","Multiple options",NA,NA,NA,7,NA,"Half-full","Yes"
"2660","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,6,"Almost full","Yes"
"2661","2017-04-01","No","Yes","Empty and reuse","5",NA,"Every 1 year Six Months",1,0,"Full","Yes"
"2662","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"2663","2017-04-01","No","Yes","Empty and reuse","1","Too expensive",NA,2,NA,"Almost full","Yes"
"2664","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"2665","2017-04-01","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","Yes"
"2666","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2667","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2668","2017-04-01","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost full","Yes"
"2669","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2670","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2671","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,1,3,"Half-full","Yes"
"2672","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"2673","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"2674","2017-04-01",NA,"No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"2675","2017-04-01","Yes","No","Empty and reuse",NA,NA,NA,NA,3,"Almost full","Yes"
"2676","2017-04-01","No","No","Empty and reuse",NA,NA,NA,1,0,"Almost full","Yes"
"2677","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"2678","2017-04-01","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"2679","2017-04-01","No","No","Multiple options",NA,NA,NA,1,NA,"Almost full","Yes"
"2680","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"2681","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"2682","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,10,NA,"Almost empty","No"
"2683","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,NA,"Almost full","Yes"
"2684","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,5,0,"Half-full","Yes"
"2685","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","No"
"2686","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2687","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"2688","2017-04-01","Yes","No","Multiple options",NA,NA,NA,8,NA,"Almost empty","Yes"
"2689","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,NA,"Half-full","No"
"2690","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"2691","2017-04-01","Yes","No","Empty and reuse",NA,NA,NA,8,0,"Almost empty",NA
"2692","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"2693","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","No"
