"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","X1.9..altitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"7925","2017-11-06",-15.4386567,28.2279083,1278,0,"Full",5,0,"2017-11-06","Vacuum Tanker"
"7926","2017-11-06",-15.4387267,28.227255,1272.1,12.5,"Half-full",5,9765.625,"2044-08-01","Vacuum Tanker"
"7927","2017-11-06",-15.4386967,28.227545,1267.2,12.5,"Half-full",7,6975.44642857143,"2036-12-11","Vacuum Tanker"
"7928",NA,-15.4381933,28.2268917,1284.1,4.5,"Almost empty",4,6591.796875,NA,"Vacuum Tanker"
"7929","2017-11-06",-15.4373517,28.229365,1282.1,12.5,"Almost full",12,2034.50520833333,"2023-06-02","Vacuum Tanker"
"7930","2017-11-06",-15.4376317,28.22992,1293.8,4.5,"Half-full",15,1171.875,"2021-01-20","Vacuum Tanker"
"7931","2017-11-06",-15.4388817,28.2277167,1265.1,12.5,"Half-full",8,6103.515625,"2034-07-23","Vacuum Tanker"
"7932","2017-11-06",-15.43882,28.2282867,1275.9,4.5,"Half-full",10,1757.8125,"2022-08-29","Vacuum Tanker"
"7933","2017-11-06",-15.4377267,28.2289833,1276.5,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"7934","2017-11-06",-15.4388383,28.228085,1274,4.5,"Half-full",17,1034.00735294118,"2020-09-05","Vacuum Tanker"
"7935","2017-11-06",-15.4384633,28.2268,1284.8,12.5,"Almost empty",13,5634.01442307692,"2033-04-10","Vacuum Tanker"
"7936","2017-11-13",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",12,1464.84375,"2021-11-16","Vacuum Tanker"
"7937","2017-11-06",-15.4389933,28.2277383,1265.2,12.5,"Half-full",7,6975.44642857143,"2036-12-11","Vacuum Tanker"
"7938","2017-11-06",-15.4385317,28.2266417,1289.9,12.5,"Half-full",12,4069.01041666667,"2028-12-27","Vacuum Tanker"
"7939","2017-11-06",-15.4389333,28.2280583,1270.6,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7940",NA,-15.4391733,28.2272883,1281.1,4.5,"Half-full",10,1757.8125,NA,"Vacuum Tanker"
"7941","2017-11-06",-15.4388917,28.2281833,1277,4.5,"Half-full",1,17578.125,"2065-12-22","Vacuum Tanker"
"7942","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Almost empty",4,6591.796875,"2035-11-23","Vacuum Tanker"
"7943","2017-11-06",-15.4391667,28.2277167,1267.9,4.5,"Half-full",11,1598.01136363636,"2022-03-23","Vacuum Tanker"
"7944","2017-11-06",-15.4390983,28.2280217,1263.1,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7945","2017-11-06",-15.4387133,28.2262233,1304.6,12.5,"Almost empty",8,9155.2734375,"2042-11-30","Vacuum Tanker"
"7946","2017-11-06",-15.439055,28.2283417,1285.3,12.5,"Half-full",10,4882.8125,"2031-03-20","Vacuum Tanker"
"7947","2017-11-06",-15.4382917,28.22668,1268.2,12.5,"Half-full",9,5425.34722222222,"2032-09-13","Vacuum Tanker"
"7948","2017-11-06",-15.4391867,28.2264117,1267.4,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
"7949","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",17,1034.00735294118,"2020-09-05","Vacuum Tanker"
"7950","2017-11-06",-15.4393817,28.227345,1276.5,4.5,"Half-full",2,8789.0625,"2041-11-29","Vacuum Tanker"
"7951","2017-11-06",-15.4387417,28.2268083,1282.3,4.5,"Almost empty",10,2636.71875,"2025-01-24","Vacuum Tanker"
"7952","2017-11-06",-15.4387633,28.2264183,1271.8,4.5,"Half-full",3,5859.375,"2033-11-21","Vacuum Tanker"
"7953","2017-11-06",-15.439185,28.2278383,1269.9,12.5,"Half-full",12,4069.01041666667,"2028-12-27","Vacuum Tanker"
"7954","2017-11-06",-15.43899,28.2284133,1280,4.5,"Half-full",9,1953.125,"2023-03-13","Vacuum Tanker"
"7955","2017-11-06",-15.4393117,28.2280383,1270.9,4.5,"Half-full",15,1171.875,"2021-01-20","Vacuum Tanker"
"7956","2017-11-06",-15.438605,28.227085,1268.7,4.5,"Half-full",12,1464.84375,"2021-11-09","Vacuum Tanker"
