"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","X1.9..altitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"1","2017-03-20",NA,NA,NA,4.5,"Almost full",24,366.2109375,"2018-03-21","Vacuum Tanker"
"2","2017-03-20",-15.4316333,28.2451733,1289.8,4.5,"Almost full",38,231.291118421053,"2017-11-06","Vacuum Tanker"
"3","2017-03-20",-15.430095,28.2422033,1268.9,4.5,"Almost empty",13,2028.24519230769,"2022-10-08","Vacuum Tanker"
"4","2017-03-20",-15.4294583,28.2438017,1291.6,0,"Half-full",18,0,"2017-03-20","Vacuum Tanker"
"5",NA,NA,NA,NA,4.5,"Half-full",8,2197.265625,NA,"Vacuum Tanker"
"6","2017-03-20",-15.4314333,28.245025,1270.7,4.5,"Half-full",7,2511.16071428571,"2024-02-03","Vacuum Tanker"
"7","2017-03-20",-15.4295433,28.2440967,1288.2,4.5,"Almost full",13,676.081730769231,"2019-01-25","Vacuum Tanker"
"8","2017-03-20",-15.4317683,28.2448567,1270.7,4.5,"Half-full",390,45.0721153846154,"2017-05-04","Vacuum Tanker"
"9","2017-03-27",-15.42974,28.241685,1282.3,4.5,"Almost full",33,266.335227272727,"2017-12-18","Vacuum Tanker"
"10","2017-03-20",-15.431175,28.244325,1261.4,12.5,"Almost empty",11,6658.38068181818,"2035-06-12","Vacuum Tanker"
"11","2017-03-20",-15.4314767,28.2443517,1282.4,4.5,"Almost empty",9,2929.6875,"2025-03-27","Vacuum Tanker"
"12","2017-03-20",-15.4300983,28.2419417,1289.4,4.5,"Half-full",30,585.9375,"2018-10-26","Vacuum Tanker"
"13","2017-03-20",-15.4299367,28.241575,1275.4,0,"Half-full",16,0,"2017-03-20","Vacuum Tanker"
"14","2017-03-20",-15.4313083,28.2446883,1251.8,4.5,"Half-full",99,177.556818181818,"2017-09-13","Vacuum Tanker"
"15","2017-03-20",-15.4297167,28.2443233,1257.4,4.5,"Almost full",23,382.133152173913,"2018-04-06","Vacuum Tanker"
"16","2017-03-20",-15.4298233,28.2414417,1265.3,4.5,"Half-full",6,2929.6875,"2025-03-27","Vacuum Tanker"
"17",NA,-15.4295717,28.2414767,1293.1,4.5,"Almost full",11,799.005681818182,NA,"Vacuum Tanker"
"18","2017-03-20",-15.4301483,28.2412983,1269.8,4.5,"Almost full",5,1757.8125,"2022-01-10","Vacuum Tanker"
"19","2017-03-20",-15.431075,28.243825,1276.3,12.5,"Almost empty",18,4069.01041666667,"2028-05-10","Vacuum Tanker"
"20","2017-03-20",NA,NA,NA,4.5,NA,12,1464.84375,"2021-03-23","Vacuum Tanker"
"21","2017-03-20",-15.43068,28.2439533,1279.3,4.5,"Almost full",9,976.5625,"2019-11-21","Vacuum Tanker"
"22","2017-03-20",-15.42929,28.2442183,1280.2,12.5,"Almost empty",16,4577.63671875,"2029-09-30","Vacuum Tanker"
"23","2017-03-20",-15.4314717,28.2442683,1274.8,12.5,"Almost empty",4,18310.546875,"2067-05-07","Vacuum Tanker"
"24","2017-03-20",-15.4296217,28.2413117,1276.7,4.5,"Half-full",19,925.164473684211,"2019-10-01","Vacuum Tanker"
"25","2017-03-20",-15.4297717,28.24107,1281.4,4.5,"Almost full",13,676.081730769231,"2019-01-25","Vacuum Tanker"
"26","2017-03-20",-15.4297883,28.2411333,1278.4,4.5,"Half-full",19,925.164473684211,"2019-10-01","Vacuum Tanker"
"27","2017-03-20",-15.43145,28.2440083,1275.3,12.5,"Almost full",25,976.5625,"2019-11-21","Vacuum Tanker"
"28","2017-03-20",-15.4313417,28.2435867,1278.4,12.5,"Almost empty",14,5231.58482142857,"2031-07-16","Vacuum Tanker"
"29","2017-03-20",NA,NA,NA,0,"Almost empty",17,0,"2017-03-20","Vacuum Tanker"
"30","2017-03-20",-15.4315017,28.243425,1268.5,4.5,"Half-full",26,676.081730769231,"2019-01-25","Vacuum Tanker"
"31","2017-03-20",-15.4299583,28.2407083,1302.8,4.5,"Almost full",32,274.658203125,"2017-12-19","Vacuum Tanker"
"32","2017-03-20",-15.4312267,28.2433017,1285.4,12.5,"Almost empty",6,12207.03125,"2050-08-21","Vacuum Tanker"
"33","2017-03-20",NA,NA,NA,0,"Almost full",8,0,"2017-03-20","Vacuum Tanker"
"34","2017-03-20",-15.4294567,28.240645,1284.5,4.5,"Half-full",12,1464.84375,"2021-03-23","Push Cart"
"35","2017-03-20",-15.4308717,28.2437117,1269.3,4.5,"Half-full",15,1171.875,"2020-06-03","Push Cart"
"36","2017-03-20",NA,NA,NA,4.5,"Almost full",21,418.526785714286,"2018-05-12","Vacuum Tanker"
"37","2017-03-20",-15.4311883,28.2428317,1241.9,4.5,"Almost full",46,191.066576086957,"2017-09-27","Light Truck"
"38","2017-03-20",-15.431265,28.24284,1268.3,4.5,"Almost full",10,878.90625,"2019-08-15","Vacuum Tanker"
"39","2017-03-20",-15.431525,28.2430167,1270.6,12.5,"Half-full",15,3255.20833333333,"2026-02-16","Vacuum Tanker"
"40","2017-03-20",-15.4312017,28.242835,1278,12.5,"Almost empty",4,18310.546875,"2067-05-07","Vacuum Tanker"
"41","2017-03-20",-15.43114,28.243395,1279.6,4.5,"Almost full",10,878.90625,"2019-08-15","Push Cart"
"42","2017-03-20",-15.4309067,28.2435383,1288.3,4.5,"Almost empty",9,2929.6875,"2025-03-27","Vacuum Tanker"
"43","2017-03-20",-15.4274733,28.2438817,1303.3,4.5,"Half-full",5,3515.625,"2026-11-03","Vacuum Tanker"
"44","2017-03-20",NA,NA,NA,4.5,"Almost full",18,488.28125,"2018-07-21","Vacuum Tanker"
"45","2017-03-20",-15.4305017,28.2436983,1287.1,4.5,"Almost empty",13,2028.24519230769,"2022-10-08","Vacuum Tanker"
"46","2017-03-20",-15.4299467,28.2445367,1276.6,12.5,"Almost full",21,1162.5744047619,"2020-05-25","Vacuum Tanker"
"47","2017-03-20",-15.427525,28.2434567,1280.7,4.5,"Full",14,251.116071428571,"2017-11-26","Vacuum Tanker"
"48","2017-03-20",-15.4302317,28.243025,1275.8,4.5,"Half-full",20,878.90625,"2019-08-15","Push Cart"
"49","2017-03-20",-15.429535,28.2408533,1268.2,12.5,"Half-full",14,3487.72321428571,"2026-10-06","Vacuum Tanker"
"50","2017-03-20",-15.4296417,28.2401167,1294,4.5,"Half-full",7,2511.16071428571,"2024-02-03","Vacuum Tanker"
"51","2017-03-20",-15.4306967,28.24278,1283.6,0,"Almost empty",15,0,"2017-03-20","Vacuum Tanker"
"52","2017-03-20",NA,NA,NA,4.5,"Almost full",10,878.90625,"2019-08-15","Vacuum Tanker"
"53","2017-03-20",-15.4299333,28.24044,1262.5,12.5,"Half-full",9,5425.34722222222,"2032-01-26","Vacuum Tanker"
"54","2017-03-20",-15.4301633,28.2431333,1276.4,0,"Almost full",7,0,"2017-03-20","Vacuum Tanker"
"55","2017-03-20",-15.4309683,28.24282,1281.5,4.5,"Almost full",12,732.421875,"2019-03-22","Vacuum Tanker"
"56","2017-03-20",-15.430995,28.2428767,1290.7,4.5,"Almost empty",8,3295.8984375,"2026-03-28","Vacuum Tanker"
"57","2017-03-20",-15.4277317,28.2439733,1278.5,12.5,"Almost empty",6,12207.03125,"2050-08-21","Vacuum Tanker"
"58","2017-03-20",-15.4296883,28.2400833,1297.8,4.5,"Half-full",3,5859.375,"2033-04-04","Vacuum Tanker"
"59","2017-03-20",-15.4291233,28.2448517,1286.3,4.5,"Half-full",15,1171.875,"2020-06-03","Vacuum Tanker"
"60","2017-03-20",-15.428945,28.23988,1270.4,4.5,"Half-full",16,1098.6328125,"2020-03-22","Vacuum Tanker"
"61","2017-03-21",-15.4306967,28.24179,1278.6,12.5,"Almost full",7,3487.72321428571,"2026-10-07","Vacuum Tanker"
"62","2017-03-21",-15.4309417,28.24206,1246.5,12.5,"Almost empty",21,3487.72321428571,"2026-10-07","Light Truck"
"63","2017-03-21",-15.4308183,28.2416417,1274.7,0,"Almost empty",12,0,"2017-03-21","Vacuum Tanker"
"64","2017-03-14",-15.42856,28.2402533,1284.8,12.5,"Almost empty",11,6658.38068181818,"2035-06-06","Vacuum Tanker"
"65","2017-03-21",-15.4310517,28.2426267,1283,4.5,"Full",40,87.890625,"2017-06-16","Vacuum Tanker"
"66","2017-03-21",-15.4273367,28.2434733,1267.7,12.5,"Almost empty",14,5231.58482142857,"2031-07-17","Vacuum Tanker"
"67","2017-03-21",-15.4286833,28.2401017,1280.1,4.5,"Almost full",16,549.31640625,"2018-09-21","Vacuum Tanker"
"68","2017-03-21",-15.4290617,28.2445783,1269.8,12.5,"Half-full",19,2569.90131578947,"2024-04-02","Vacuum Tanker"
"69","2017-03-21",-15.4283833,28.23972,1271.4,4.5,"Half-full",44,399.502840909091,"2018-04-24","Vacuum Tanker"
"70","2017-03-21",NA,NA,NA,12.5,"Almost empty",9,8138.02083333333,"2039-07-02","Vacuum Tanker"
"71","2017-03-21",-15.42847,28.2407,1277.5,4.5,"Almost full",7,1255.58035714286,"2020-08-27","Vacuum Tanker"
"72","2017-03-21",-15.4282833,28.240195,1259,4.5,"Almost full",4,2197.265625,"2023-03-27","Vacuum Tanker"
"73","2017-03-21",-15.42878,28.2405167,1251.7,4.5,"Almost full",36,244.140625,"2017-11-20","Vacuum Tanker"
"74","2017-03-21",-15.4303167,28.24233,1267.9,12.5,"Half-full",48,1017.25260416667,"2020-01-02","Vacuum Tanker"
"75","2017-03-21",NA,NA,NA,4.5,"Almost full",15,585.9375,"2018-10-27","Vacuum Tanker"
"76","2017-03-21",-15.4304733,28.2426017,1274,12.5,"Half-full",20,2441.40625,"2023-11-26","Vacuum Tanker"
"77","2017-03-21",-15.4303917,28.2427267,1265.7,12.5,NA,6,8138.02083333333,"2039-07-02","Vacuum Tanker"
"78","2017-03-21",-15.4303033,28.242875,1288.1,4.5,"Almost full",17,517.003676470588,"2018-08-20","Vacuum Tanker"
"79","2017-03-21",-15.42899,28.24026,1272.2,12.5,"Half-full",14,3487.72321428571,"2026-10-07","Vacuum Tanker"
"80","2017-03-21",-15.4293833,28.2408133,1273.4,4.5,"Almost empty",10,2636.71875,"2024-06-08","Push Cart"
"81","2017-03-21",-15.4219783,28.2420467,1290.2,4.5,"Full",11,319.602272727273,"2018-02-03","Vacuum Tanker"
"82","2017-03-21",-15.4220133,28.242565,1235,4.5,"Almost full",7,1255.58035714286,"2020-08-27","Vacuum Tanker"
"83","2017-03-21",-15.4220083,28.2425,1274,4.5,"Almost full",21,418.526785714286,"2018-05-13","Vacuum Tanker"
"84","2017-03-28",-15.4286017,28.2407033,1272.8,12.5,"Almost empty",18,4069.01041666667,"2028-05-18","Vacuum Tanker"
"85","2017-03-21",-15.4221367,28.242395,1293.6,4.5,"Half-full",14,1255.58035714286,"2020-08-27","Vacuum Tanker"
"86","2017-03-28",-15.4288683,28.24107,1276.7,12.5,"Almost full",24,1017.25260416667,"2020-01-09","Vacuum Tanker"
"87","2017-03-21",-15.4268967,28.24242,1302.6,4.5,"Almost empty",25,1054.6875,"2020-02-08","Vacuum Tanker"
"88","2017-03-21",-15.4290417,28.2410917,1268,4.5,"Almost full",16,549.31640625,"2018-09-21","Vacuum Tanker"
"89","2017-03-21",-15.429445,28.2436717,1263.7,12.5,"Half-full",11,4438.92045454545,"2029-05-15","Vacuum Tanker"
"90","2017-03-21",-15.4216833,28.242395,1271.2,4.5,"Half-full",20,878.90625,"2019-08-16","Vacuum Tanker"
"91","2017-03-21",-15.42169,28.242235,1279.8,12.5,"Half-full",12,4069.01041666667,"2028-05-11","Vacuum Tanker"
"92","2017-03-21",-15.429205,28.2411517,1272.2,4.5,"Almost empty",5,5273.4375,"2031-08-28","Vacuum Tanker"
"93","2017-03-21",-15.4216533,28.24247,1278,4.5,"Half-full",5,3515.625,"2026-11-04","Push Cart"
"94","2017-03-21",-15.4293583,28.24099,1275.3,4.5,"Almost full",4,2197.265625,"2023-03-27","Vacuum Tanker"
"95","2017-03-21",-15.4218883,28.2429383,1278.7,4.5,"Almost full",27,325.520833333333,"2018-02-09","Vacuum Tanker"
"96","2017-03-21",-15.4293967,28.2438967,1256.8,4.5,"Half-full",21,837.053571428571,"2019-07-06","Vacuum Tanker"
"97","2017-03-21",-15.429145,28.241425,1278.5,12.5,"Almost empty",15,4882.8125,"2030-08-02","Vacuum Tanker"
"98","2017-03-21",-15.4216617,28.2432133,1282.2,4.5,"Half-full",10,1757.8125,"2022-01-11","Vacuum Tanker"
"99","2017-03-21",-15.4218833,28.2435533,1276.8,4.5,"Half-full",15,1171.875,"2020-06-04","Vacuum Tanker"
"100","2017-03-21",-15.421625,28.2434217,1288.2,4.5,"Half-full",6,2929.6875,"2025-03-28","Vacuum Tanker"
"101","2017-03-21",-15.4295283,28.2416883,1284.3,12.5,"Almost full",21,1162.5744047619,"2020-05-26","Light Truck"
"102","2017-03-21",-15.4293017,28.2415883,1287.2,12.5,"Half-full",8,6103.515625,"2033-12-05","Vacuum Tanker"
"103","2017-03-21",-15.42174,28.24359,1275.8,4.5,"Almost full",23,382.133152173913,"2018-04-07","Vacuum Tanker"
"104","2017-03-21",-15.42947,28.24188,1296.5,4.5,"Almost full",22,399.502840909091,"2018-04-24","Vacuum Tanker"
"105","2017-03-21",-15.4216083,28.24303,1277.2,12.5,"Almost full",313,78.0001996805112,"2017-06-07","Vacuum Tanker"
"106","2017-03-21",-15.4293333,28.2419183,1285.3,12.5,"Almost empty",16,4577.63671875,"2029-10-01","Vacuum Tanker"
"107","2017-03-21",-15.4219917,28.2436417,1294,12.5,"Half-full",12,4069.01041666667,"2028-05-11","Vacuum Tanker"
"108","2017-03-21",-15.4217133,28.243675,1351.5,12.5,"Full",10,976.5625,"2019-11-22","Vacuum Tanker"
"109","2017-03-21",-15.421845,28.2437667,1297.9,12.5,"Half-full",6,8138.02083333333,"2039-07-02","Vacuum Tanker"
"110","2017-03-21",-15.421465,28.24431,1275.8,12.5,"Half-full",17,2872.24264705882,"2025-01-30","Vacuum Tanker"
"111","2017-03-21",-15.4214533,28.244075,1282.8,12.5,"Half-full",28,1743.86160714286,"2021-12-28","Vacuum Tanker"
"112","2017-03-21",-15.4218783,28.2443,1259.5,12.5,"Half-full",11,4438.92045454545,"2029-05-15","Vacuum Tanker"
"113","2017-03-21",-15.4215567,28.2443833,1280.9,4.5,"Almost full",9,976.5625,"2019-11-22","Vacuum Tanker"
"114","2017-03-20",-15.4215367,28.2443717,1293.2,4.5,"Half-full",6,2929.6875,"2025-03-27","Vacuum Tanker"
"115","2017-03-21",-15.4280867,28.244425,1287.5,4.5,"Full",18,195.3125,"2017-10-02","Vacuum Tanker"
"116","2017-03-21",-15.4218267,28.24464,1267.2,4.5,"Half-full",15,1171.875,"2020-06-04","Vacuum Tanker"
"117","2017-03-21",-15.4218417,28.2445767,1275.9,12.5,"Half-full",9,5425.34722222222,"2032-01-27","Vacuum Tanker"
"118","2017-03-21",-15.4220267,28.2446817,1319.7,4.5,"Half-full",7,2511.16071428571,"2024-02-04","Vacuum Tanker"
"119","2017-03-21",-15.4285117,28.2406933,1245.7,4.5,"Almost full",1,8789.0625,"2041-04-13","Vacuum Tanker"
"120","2017-03-21",-15.421785,28.24545,1265,12.5,"Half-full",12,4069.01041666667,"2028-05-11","Vacuum Tanker"
"121",NA,-15.4214483,28.2446183,1278.9,4.5,"Almost full",70,125.558035714286,NA,"Vacuum Tanker"
"122","2017-03-21",-15.4217983,28.2443233,1295.5,12.5,"Almost full",38,642.475328947369,"2018-12-23","Vacuum Tanker"
"123","2017-03-21",-15.4281533,28.2411067,1290,12.5,"Almost full",18,1356.33680555556,"2020-12-06","Vacuum Tanker"
"124","2017-03-21",-15.4223633,28.244895,1281.4,4.5,"Half-full",33,532.670454545455,"2018-09-04","Vacuum Tanker"
"125","2017-03-21",-15.42832,28.2406417,1287,4.5,"Empty",9,3906.25,"2027-11-30","Vacuum Tanker"
"126","2017-03-21",-15.4220167,28.2453083,1258.8,12.5,"Half-full",8,6103.515625,"2033-12-05","Vacuum Tanker"
"127","2017-03-21",-15.4275083,28.240315,1278.8,12.5,"Half-full",18,2712.67361111111,"2024-08-23","Vacuum Tanker"
"128","2017-03-21",-15.4275933,28.24048,1283.1,12.5,"Half-full",19,2569.90131578947,"2024-04-02","Vacuum Tanker"
"129","2017-03-21",-15.4222533,28.24509,1272.6,4.5,"Almost empty",40,659.1796875,"2019-01-09","Vacuum Tanker"
"130","2017-03-21",-15.4224417,28.2442333,1285,12.5,"Almost empty",35,2092.63392857143,"2022-12-12","Light Truck"
"131","2017-03-21",-15.427275,28.24046,1331.9,12.5,"Half-full",10,4882.8125,"2030-08-02","Vacuum Tanker"
"132","2017-03-21",-15.4223717,28.2444017,1274.7,0,"Almost full",12,0,"2017-03-21","Vacuum Tanker"
"133","2017-03-21",-15.42227,28.24462,1287.6,4.5,"Half-full",10,1757.8125,"2022-01-11","Vacuum Tanker"
"134","2017-03-21",-15.4223533,28.2439367,1287.3,4.5,"Half-full",22,799.005681818182,"2019-05-29","Vacuum Tanker"
"135","2017-03-21",-15.4215617,28.244995,1273.1,12.5,"Almost empty",12,6103.515625,"2033-12-05","Vacuum Tanker"
"136","2017-03-21",-15.4278533,28.240595,1274.4,4.5,"Almost full",21,418.526785714286,"2018-05-13","Vacuum Tanker"
"137","2017-03-21",NA,NA,NA,4.5,"Half-full",17,1034.00735294118,"2020-01-19","Vacuum Tanker"
"138","2017-03-21",-15.427325,28.241215,1296.7,12.5,"Almost empty",6,12207.03125,"2050-08-22","Vacuum Tanker"
"139","2017-03-21",-15.4221833,28.2440483,1279.6,4.5,"Half-full",9,1953.125,"2022-07-26","Vacuum Tanker"
"140","2017-03-22",-15.422135,28.2435417,1266.1,4.5,"Half-full",7,2511.16071428571,"2024-02-05","Vacuum Tanker"
"141","2017-03-22",-15.4281583,28.2412833,1296.5,12.5,"Almost full",17,1436.12132352941,"2021-02-25","Vacuum Tanker"
"142","2017-03-22",-15.4220967,28.2436967,1273.8,4.5,"Half-full",10,1757.8125,"2022-01-12","Vacuum Tanker"
"143",NA,-15.4278617,28.2416033,1280.9,4.5,"Almost full",7,1255.58035714286,NA,"Vacuum Tanker"
"144","2017-03-22",-15.4279567,28.2412967,1276.6,12.5,"Half-full",16,3051.7578125,"2025-07-29","Vacuum Tanker"
"145","2017-03-22",-15.427815,28.2414833,1270.3,12.5,"Almost empty",32,2288.818359375,"2023-06-27","Vacuum Tanker"
"146","2017-03-22",-15.42207,28.2427733,1271,4.5,"Almost empty",7,3766.74107142857,"2027-07-14","Vacuum Tanker"
"147","2017-03-22",-15.4283333,28.241505,1285,4.5,"Half-full",19,925.164473684211,"2019-10-03","Vacuum Tanker"
"148","2017-03-22",-15.422265,28.2435467,1267,4.5,"Half-full",12,1464.84375,"2021-03-25","Vacuum Tanker"
"149","2017-03-22",-15.4221783,28.2428233,1268.4,4.5,"Almost empty",28,941.685267857143,"2019-10-19","Vacuum Tanker"
"150","2017-03-22",-15.429755,28.24474,1279.3,12.5,"Almost empty",12,6103.515625,"2033-12-06","Vacuum Tanker"
"151","2017-03-22",-15.42242,28.24343,1269.9,4.5,"Almost full",38,231.291118421053,"2017-11-08","Vacuum Tanker"
"152","2017-03-22",-15.4284283,28.24136,1278.5,4.5,"Almost full",8,1098.6328125,"2020-03-24","Vacuum Tanker"
"153","2017-03-22",-15.42782,28.2414617,1271.9,4.5,"Half-full",15,1171.875,"2020-06-05","Vacuum Tanker"
"154","2017-03-22",-15.4222567,28.24327,1270.5,4.5,"Half-full",9,1953.125,"2022-07-27","Vacuum Tanker"
"155","2017-03-22",-15.42212,28.2433083,1275.4,12.5,"Almost empty",4,18310.546875,"2067-05-09","Vacuum Tanker"
"156","2017-03-22",-15.4279,28.241835,1276.4,0,"Full",15,0,"2017-03-22","Vacuum Tanker"
"157","2017-03-22",-15.4221317,28.2431633,1264.5,12.5,"Half-full",14,3487.72321428571,"2026-10-08","Vacuum Tanker"
"158","2017-03-22",-15.4289667,28.2451583,1277,12.5,"Half-full",8,6103.515625,"2033-12-06","Vacuum Tanker"
"159","2017-03-22",-15.42903,28.2448717,1272.8,4.5,"Almost full",8,1098.6328125,"2020-03-24","Vacuum Tanker"
"160","2017-03-22",-15.4225583,28.24328,1278.9,4.5,"Half-full",7,2511.16071428571,"2024-02-05","Vacuum Tanker"
"161","2017-03-22",-15.4287017,28.245345,1293.2,4.5,"Almost full",12,732.421875,"2019-03-24","Vacuum Tanker"
"162","2017-03-22",-15.42261,28.2430233,1277.5,12.5,"Almost empty",13,5634.01442307692,"2032-08-24","Vacuum Tanker"
"163","2017-03-22",-15.4224967,28.2428567,1279.5,4.5,"Almost empty",16,1647.94921875,"2021-09-24","Vacuum Tanker"
"164","2017-03-22",-15.4292717,28.2452567,1279.2,4.5,"Half-full",12,1464.84375,"2021-03-25","Vacuum Tanker"
"165","2017-03-22",-15.4284833,28.2453683,1278.8,12.5,NA,273,178.857600732601,"2017-09-16","Vacuum Tanker"
"166","2017-03-22",-15.42899,28.2417567,1281.7,12.5,"Half-full",16,3051.7578125,"2025-07-29","Vacuum Tanker"
"167","2017-03-22",-15.427895,28.2421667,1281,0,"Almost full",13,0,"2017-03-22","Vacuum Tanker"
"168","2017-03-22",-15.4223067,28.2425667,1282.4,4.5,"Half-full",73,240.796232876712,"2017-11-17","Vacuum Tanker"
"169","2017-03-22",-15.4225883,28.2424967,1266.6,4.5,"Almost empty",23,1146.39945652174,"2020-05-11","Vacuum Tanker"
"170","2017-03-22",-15.4225,28.2426317,1279.3,12.5,"Almost empty",14,5231.58482142857,"2031-07-18","Vacuum Tanker"
"171","2017-03-22",-15.4224717,28.24234,1284.3,4.5,"Almost full",20,439.453125,"2018-06-04","Vacuum Tanker"
"172","2017-03-22",-15.4283117,28.245735,1280.4,4.5,"Almost empty",16,1647.94921875,"2021-09-24","Vacuum Tanker"
"173","2017-03-22",-15.4223433,28.2423483,1277.1,4.5,"Almost empty",3,8789.0625,"2041-04-14","Light Truck"
"174","2017-03-22",-15.4224983,28.2421933,1281.4,0,"Almost empty",9,0,"2017-03-22","Vacuum Tanker"
"175","2017-03-22",-15.4280167,28.2420583,1277,0,"Full",12,0,"2017-03-22","Vacuum Tanker"
"176","2017-03-22",-15.4222667,28.2422333,1280.2,0,"Almost full",12,0,"2017-03-22","Vacuum Tanker"
"177","2017-03-22",-15.4224483,28.2420983,1279.6,4.5,"Half-full",11,1598.01136363636,"2021-08-06","Vacuum Tanker"
"178","2017-03-22",-15.4222917,28.24156,1318.9,12.5,"Almost empty",21,3487.72321428571,"2026-10-08","Vacuum Tanker"
"179","2017-03-22",-15.42819,28.245685,1273.9,4.5,"Almost full",14,627.790178571429,"2018-12-09","Light Truck"
"180","2017-03-22",-15.42212,28.24171,1281.8,4.5,"Half-full",8,2197.265625,"2023-03-28","Vacuum Tanker"
"181","2017-03-22",-15.42241,28.2418333,1287.8,4.5,"Half-full",3,5859.375,"2033-04-06","Vacuum Tanker"
"182","2017-03-22",-15.42913,28.2420267,1283.2,12.5,"Almost full",42,581.287202380952,"2018-10-24","Vacuum Tanker"
"183","2017-03-22",-15.4281317,28.2422467,1297.7,4.5,"Full",18,195.3125,"2017-10-03","Vacuum Tanker"
"184","2017-03-22",-15.4284083,28.2458033,1283,4.5,"Full",3,1171.875,"2020-06-05","Vacuum Tanker"
"185","2017-03-22",-15.4286917,28.2461283,1281.8,4.5,"Almost empty",8,3295.8984375,"2026-03-30","Push Cart"
"186",NA,-15.4226067,28.2417433,1279.4,12.5,"Almost full",8,3051.7578125,NA,"Vacuum Tanker"
"187","2017-03-22",-15.42931,28.2421117,1271.6,4.5,"Almost full",15,585.9375,"2018-10-28","Vacuum Tanker"
"188","2017-03-22",-15.4226633,28.2423517,1306.2,4.5,"Almost empty",22,1198.50852272727,"2020-07-02","Vacuum Tanker"
"189","2017-03-22",-15.4226367,28.24255,1288.1,4.5,"Half-full",5,3515.625,"2026-11-05","Vacuum Tanker"
"190","2017-03-22",-15.422695,28.2429067,1296,4.5,"Almost empty",7,3766.74107142857,"2027-07-14","Vacuum Tanker"
"191","2017-03-22",-15.4226367,28.24267,1267.1,4.5,"Half-full",10,1757.8125,"2022-01-12","Vacuum Tanker"
"192","2017-03-22",-15.422725,28.2418033,1266.6,12.5,"Almost full",8,3051.7578125,"2025-07-29","Vacuum Tanker"
"193","2017-03-22",-15.4281117,28.2423517,1284.1,12.5,"Almost full",27,904.224537037037,"2019-09-12","Vacuum Tanker"
"194","2017-03-22",-15.4226417,28.2431233,1279.1,12.5,"Half-full",12,4069.01041666667,"2028-05-12","Vacuum Tanker"
"195","2017-03-22",NA,NA,NA,4.5,"Half-full",7,2511.16071428571,"2024-02-05","Vacuum Tanker"
"196","2017-03-22",-15.4282983,28.246065,1286.9,4.5,"Half-full",13,1352.16346153846,"2020-12-03","Vacuum Tanker"
"197","2017-03-22",-15.422795,28.2425617,1273.9,12.5,"Almost full",12,2034.50520833333,"2022-10-16","Vacuum Tanker"
"198","2017-03-22",-15.4228267,28.2421133,1290.8,4.5,"Almost empty",7,3766.74107142857,"2027-07-14","Vacuum Tanker"
"199","2017-03-22",-15.4227967,28.242005,1280,4.5,"Half-full",6,2929.6875,"2025-03-29","Vacuum Tanker"
"200","2017-03-22",-15.4225717,28.242085,1279.8,4.5,"Almost full",11,799.005681818182,"2019-05-30","Vacuum Tanker"
"201","2017-03-22",-15.4284467,28.2461317,1282.4,4.5,"Half-full",14,1255.58035714286,"2020-08-28","Vacuum Tanker"
"202","2017-03-22",-15.4227117,28.24157,1282.6,4.5,"Almost empty",6,4394.53125,"2029-04-02","Vacuum Tanker"
"203","2017-03-22",-15.4227517,28.2435967,1303,12.5,"Almost empty",15,4882.8125,"2030-08-03","Vacuum Tanker"
"204","2017-03-22",-15.4290833,28.2472833,1257.2,4.5,"Almost empty",12,2197.265625,"2023-03-28","Vacuum Tanker"
"205","2017-03-22",-15.4226467,28.2441883,1261.7,4.5,"Almost empty",9,2929.6875,"2025-03-29","Vacuum Tanker"
"206","2017-03-22",-15.422795,28.2442567,1319,4.5,"Half-full",33,532.670454545455,"2018-09-05","Vacuum Tanker"
"207","2017-03-22",-15.4226833,28.24468,1283.1,4.5,"Half-full",24,732.421875,"2019-03-24","Vacuum Tanker"
"208","2017-03-22",-15.4298533,28.24661,1290.7,12.5,"Half-full",37,1319.67905405405,"2020-10-31","Vacuum Tanker"
"209","2017-03-22",-15.422905,28.24493,1276.1,12.5,"Half-full",28,1743.86160714286,"2021-12-29","Vacuum Tanker"
"210","2017-03-22",-15.4227733,28.24507,1282.9,12.5,"Almost empty",22,3329.19034090909,"2026-05-03","Vacuum Tanker"
"211","2017-03-22",-15.422765,28.2452567,1271.5,12.5,"Half-full",11,4438.92045454545,"2029-05-16","Vacuum Tanker"
"212","2017-03-22",-15.4300067,28.246425,1281.9,12.5,"Almost empty",10,7324.21875,"2037-04-10","Vacuum Tanker"
"213","2017-03-22",-15.4230383,28.2452967,1273,4.5,"Almost full",20,439.453125,"2018-06-04","Vacuum Tanker"
"214","2017-03-22",-15.4293533,28.2422733,1271.9,4.5,"Almost full",35,251.116071428571,"2017-11-28","Vacuum Tanker"
"215","2017-03-22",-15.4229717,28.2451867,1278.9,12.5,"Half-full",24,2034.50520833333,"2022-10-16","Vacuum Tanker"
"216","2017-03-22",-15.4289117,28.2425183,1361.5,4.5,"Half-full",12,1464.84375,"2021-03-25","Vacuum Tanker"
"217",NA,-15.422995,28.2450683,1291.3,4.5,"Almost full",12,732.421875,NA,"Vacuum Tanker"
"218","2017-03-22",-15.4283667,28.2422917,1256.7,4.5,"Half-full",26,676.081730769231,"2019-01-27","Vacuum Tanker"
